Name,Grid,Type,Region
Barnacle Cay,O-15,Islet,The Ancient Isles
Black Sand Atoll,O-3,Islet,The Wilds
Black Water Enclave,R-5,Islet,The Wilds
Blind Man's Lagoon,N-6,Islet,The Wilds
Booty Isle,K-20,Islet,The Ancient Isles
Boulder Cay,G-5,Islet,The Shores of Plenty
Brimstone Rock,X-18,Islet,The Devil's Roar
Castaway Isle,K-14,Islet,The Ancient Isles
Chicken Isle,I-16,Islet,The Ancient Isles
Cinder Islet,U-14,Islet,The Devil's Roar
Cursewater Shores,Y-13,Islet,The Devil's Roar
Cutlass Cay,M-18,Islet,The Ancient Isles
Flame's End,V-19,Islet,The Devil's Roar
Fools Lagoon,I-14,Islet,The Ancient Isles
Forsaken Brink,U-16,Islet,The Devil's Roar
Glowstone Cay,Z-18,Islet,The Devil's Roar
Isle of Last Words,O-9,Islet,The Wilds
Lagoon of Whispers,D-12,Islet,The Shores of Plenty
Liar's Backbone,S-11,Islet,The Wilds
Lonely Isle,G-8,Islet,The Shores of Plenty
Lookout Point,I-20,Islet,The Ancient Isles
Magma's Tide,Y-20,Islet,The Devil's Roar
Mutineer Rock,N-19,Islet,The Ancient Isles
Old Salts Atoll,F-18,Islet,The Ancient Isles
Paradise Spring,L-17,Islet,The Ancient Isles
Picaroon Palms,I-4,Islet,The Shores of Plenty
Plunderer's Plight,Q-6,Islet,The Wilds
Rapier Cay,D-8,Islet,The Shores of Plenty
Roaring Sands,U-21,Islet,The Devil's Roar
Rum Runner Isle,H-9,Islet,The Shores of Plenty
Salty Sands,G-3,Islet,The Shores of Plenty
Sandy Shallows,D-5,Islet,The Shores of Plenty
Scorched Pass,X-11,Islet,The Devil's Roar
Scurvy Isley,K-4,Islet,The Wilds
Sea Dog's Rest,C-11,Islet,The Shores of Plenty
Shark Tooth Key,P-13,Islet,The Wilds
Shiver Retreat,Q-11,Islet,The Wilds
Tri-Rock Isle,R-10,Islet,The Wilds
Twin Groves,H-11,Islet,The Shores of Plenty
Ashen Reaches,V-23,Island,The Devil's Roar
Cannon Cove,G-10,Island,The Shores of Plenty
Crescent Isle,B-9,Island,The Shores of Plenty
Crook's Hollow,M-16,Island,The Ancient Isles
Devil's Ridge,P-19,Island,The Ancient Isles
Discovery Ridge,E-17,Island,The Ancient Isles
Fetcher's Rest,V-12,Island,The Devil's Roar
Flintlock Peninsula,W-14,Island,The Devil's Roar
Kraken's Fall,R-12,Island,The Wilds
Lone Cove,H-6,Island,The Shores of Plenty
Marauder's Arch,Q-3,Island,The Wilds
Mermaid's Hideaway,B-13,Island,The Shores of Plenty
Old Faithful Isle,M-4,Island,The Wilds
Plunder Valley,G-16,Island,The Ancient Isles
Ruby's Fall,Y-16,Island,The Devil's Roar
Sailor's Bounty,C-4,Island,The Shores of Plenty
Shark Bait Cove,H-19,Island,The Ancient Isles
Shipwreck Bay,M-10,Island,The Wilds
Smugglers' Bay,F-3,Island,The Shores of Plenty
Snake Island,K-16,Island,The Ancient Isles
The Crooked Masts,O-11,Island,The Wilds
The Devil's Thirst,W-21,Island,The Devil's Roar
The Sunken Grove,P-7,Island,The Wilds
Thieves' Haven,L-20,Island,The Ancient Isles
Wanderers Refuge,F-12,Island,The Shores of Plenty
